Nome da Propriedade,Sede,Municipio,Coordenadas X,Coordenadas Y
Fazenda Paz de Deus,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Chacara Rodrigues,Sede A,Breves,1° 40′ 57″ S,50° 28′ 51″ O
Rancho Montenegro,Sede A,Castanhal,"01º 17' 38"" S","47º 55' 35"" W"
Fazenda Fe em Deus,Sede A,Castanhal,"01º 17' 38"" S","47º 55' 35"" W"
Fazenda 3 Marias,Sede A,Castanhal,"01º 17' 38"" S","47º 55' 35"" W"
Fazenda Esperança,Sede A,Castanhal,,
Fazenda Nonato,Sede A,Castanhal,,
Fazenda Liberdade,Sede A,Breves,1° 40′ 57″ S,50° 28′ 51″ O
Fazenda 2 Irmaos,Sede A,Oriximiná,"01º45'56"" s","55º51'58"" o"
Chacara Monte Alto,Sede A,Oriximiná,"01º45'56"" s","55º51'58"" o"
Rancho Cezar,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Fazenda Confusão,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Fazenda GM,Sede A,Paragominas,,
Chacara Felicidade,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Fazenda Madrugada,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Fazenda Nova Morada,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Fazenda União,Sede A,Soure,1° 40′ 57″ S,50° 28′ 51″ O
Fazenda Separação,Sede A,Castanhal,,
Rancho Breves,Sede A,Breves,,
Fazenda Windows ,Sede A,Oriximiná,,
Fazenda Solar,Sede A,Breves,1° 40′ 57″ S,50° 28′ 51″ O
Rancho das Alamandas,Sede A,Castanhal,,
Fazenda Norte ,Sede A,Soure,,
Fazenda Rosa dos Ventos,Sede A,Soure,1° 40′ 57″ S,50° 28′ 51″ O
